Data,Przychody odsetkowe,Przychody odsetkowe,Koszty odsetkowe,Wynik z tytułu odsetek,Przychody prowizyjne,Koszty prowizyjne,Wynik z tytułu prowizji,Przychody z tytułu dywidend,Wynik handlowy i rewaluacja,Wynik na pozostałych instrumentach finansowych,Pozostałe przychody operacyjne,Odpisy netto z tytułu utraty wartości kredytów,Ogólne koszty administracyjne,Pozostałe koszty operacyjne,Wynik operacyjny,Udział w zyskach jednostek podporządkowanych,Zysk przed opodatkowaniem,Zysk (strata) netto z działalności zaniechanej,Zysk netto,Zysk netto akcjonariuszy jednostki dominującej
2005/Q1 (mar 05) ,437724,437724,183046,254678,157749,22278,135471,0,94594,34238,25481,-136,-377341,-19347,147638,325,147963,0,138522,138522
2005/Q2 (cze 05) ,438287,438287,170707,267580,183185,34939,148246,1573,110223,93119,23710,17164,-389715,-15704,256196,-2809,253387,0,179727,179727
2005/Q3 (wrz 05) ,396694,396694,149865,246829,187488,32030,155458,508,67638,81301,51881,22319,-377445,-12408,236081,-5281,230800,0,178648,178648
2005/Q4 (gru 05) ,404092,404092,144885,259207,186574,29428,157146,14,202441,-71273,38588,-9162,-401125,-13787,162049,2079,164128,0,121204,121204
2006/Q1 (mar 06) ,380823,380823,134896,245927,174079,28659,145420,0,109997,32731,145183,3124,-371718,-12636,298028,5243,303271,0,236001,236001
2006/Q2 (cze 06) ,402778,402778,140573,262205,202782,45774,157008,100,68868,435,31352,8138,-376485,-7803,143818,-2589,141229,0,107745,107745
2006/Q3 (wrz 06) ,426398,426398,162453,263945,189859,45151,144708,3552,70915,13425,28137,29289,-366109,-5923,181939,1456,183395,0,145035,145035
2006/Q4 (gru 06) ,422219,422219,167895,254324,216015,45249,170766,7,66126,85826,42017,-18016,-387246,-13255,200549,3670,204219,0,168275,168275
2007/Q1 (mar 07) ,460824,460824,171209,289615,224991,46550,178441,9,105118,17098,24893,20182,-374563,-11684,249109,479,249588,0,197450,197450
2007/Q2 (cze 07) ,482034,482034,188806,293228,235377,50158,185219,792,136907,37635,27917,25481,-382203,-15954,309022,-8993,300029,0,242120,242120
2007/Q3 (wrz 07) ,507464,507464,200651,306813,237645,46330,191315,3472,87889,7438,25243,-10638,-375671,-6746,229115,42,229157,0,178842,178842
2007/Q4 (gru 07) ,526529,526529,211765,314764,173129,-8579,181708,1667,92606,15404,30267,17531,-390107,-8275,255565,-114,255451,0,205803,205803
2008/Q1 (mar 08) ,543463,543463,221329,322134,192920,26986,165934,0,125131,25795,28458,-20231,-410607,-10537,226077,1065,227142,0,180107,180107
2008/Q2 (cze 08) ,551784,551784,227233,324551,190499,27038,163461,4716,90012,3132,34110,-15903,-381738,-8870,213471,744,214215,0,170064,170064
2008/Q3 (wrz 08) ,576632,576632,241619,335013,174246,24105,150141,368,156045,8293,19867,-22638,-367206,-7367,272516,4,272520,0,215715,215715
2008/Q4 (gru 08) ,646745,646745,262693,384052,163457,24048,139409,6677,-111846,19796,46169,-94308,-336357,-9150,44442,843,45285,0,34548,34548
2009/Q1 (mar 09),550815,550815,160400,390415,149357,24567,124790,12,39608,21332,30408,-152493,-373742,-12316,68014,-1240,66774,0,46153,46153
2009/Q2 (cze 09) ,533009,533009,149446,383563,156962,24945,132017,5913,74969,17350,20045,-180503,-353378,-5517,94459,731,95190,0,71405,71405
2009/Q3 (wrz 09) ,514836,514836,138504,376332,176180,25189,150991,515,74393,20908,130623,-55456,-329391,-15091,353824,691,354515,0,285302,285302
