Data-Kwartał,Przepływy pieniężne z działalności operacyjnej,Amortyzacja,Przepływy pieniężne z działalności inwestycyjnej,CAPEX (niematerialne i rzeczowe),Przepływy pieniężne z działalności finansowej,Emisja akcji,Dywidenda,Skup akcji,Przepływy operacyjne razem
2005/Q1 (mar 05) ,943345,34585,-44088,42196,-20178,0,0,,879079
2005/Q2 (cze 05) ,-461020,35405,-31101,43719,-324470,0,0,,-816591
2005/Q3 (wrz 05) ,244461,34639,-13339,7343,-438898,0,1563995,,-207776
2005/Q4 (gru 05) ,1460184,35667,-2330,32149,-1279382,0,0,,178472
2006/Q1 (mar 06) ,1248864,33344,160252,14897,110352,0,0,,1519468
2006/Q2 (cze 06) ,-1443451,33063,-8801,14352,-27570,0,0,,-1479822
2006/Q3 (wrz 06) ,138781,32407,-40973,18984,-440699,0,470375,,-342891
2006/Q4 (gru 06) ,609390,31372,12029,16128,-2352,0,0,,619067
2007/Q1 (mar 07) ,22534,28357,-13454,15896,-17686,0,0,,-8606
2007/Q2 (cze 07) ,794105,27128,-17026,23911,130270,0,0,,907349
2007/Q3 (wrz 07) ,-473930,26713,876,17099,-547918,0,535704,,-1020972
2007/Q4 (gru 07) ,2295541,26639,-53197,18968,314159,0,0,,2556503
2008/Q1 (mar 08) ,-573495,25540,-5220,,-18106,0,0,,-596821
2008/Q2 (cze 08) ,-544636,24291,-9467,,239288,0,0,,-314815
2008/Q3 (wrz 08) ,-341647,24081,-52824,,-638812,0,621598,,-1033283
2008/Q4 (gru 08) ,1757129,23203,-3336,75531,-962,0,0,,1752831
2009/Q1 (mar 09) ,-1770163,21726,-11421,,-27597,0,0,,-1809181
2009/Q2 (cze 09) ,-325690,21114,1451,,-151122,0,0,,-475361
2009/Q3 (wrz 09) ,-393273,15405,-11297,,-65100,0,0,,-469670
2009/Q4 (gru 09) ,3402360,20602,1056,31786,-122411,0,54,,3281005
2010/Q1 (mar 10) ,-3248649,16939,2685,,-81478,0,0,,-3327442
2010/Q2 (cze 10) ,1253259,15598,-10755,,-51980,0,0,,1190524
2010/Q3 (wrz 10) ,593988,15025,2685,,-494556,0,492587,,102117
2010/Q4 (gru 10) ,1346036,14917,-21928,37829,-124049,0,0,,1200059
2011/Q1 (mar 11) ,7479843,14428,-9415,,-30820,0,0,,7439608
2011/Q2 (cze 11) ,-9467064,14774,-25521,,-14641,0,0,,-9507226
2011/Q3 (wrz 11) ,1626836,15257,-13904,,-812409,0,747373,,800523
2011/Q4 (gru 11) ,-1081882,15557,-20739,78323,88567,0,0,,-1014054
2012/Q1 (mar 12) ,1197116,16423,-16904,,-32569,0,0,,1147643
2012/Q2 (cze 12) ,-1346057,17890,20926,,-6739,0,0,,-1331870
2012/Q3 (wrz 12) ,812825,15579,-10862,,-424523,0,360897,,377440
2012/Q4 (gru 12) ,461654,14791,-49430,118995,-89251,0,0,,322973
2013/Q1 (mar 13) ,-275227,13406,-9585,,-16186,0,0,,-300998
2013/Q2 (cze 13) ,245334,13389,-34177,15352,82029,0,0,,293186
2013/Q3 (wrz 13) ,1973865,17109,-14671,,-792980,0,756519,,1166214
2013/Q4 (gru 13) ,-1583849,18731,-21503,91466,24371,0,0,,-1580981
2014/Q1 (mar 14) ,857257,18334,-7658,,74277,0,0,,923876
2014/Q2 (cze 14) ,-641875,17850,-9043,15734,-26851,0,0,,-677769
2014/Q3 (wrz 14) ,629292,17626,4045,,-989100,0,934598,,-355763
2014/Q4 (gru 14) ,728465,17554,-2399,47144,-16577,0,0,,709489
2015/Q1 (mar 15) ,-749906,17592,-22060,,-48231,0,0,,-820197
2015/Q2 (cze 15) ,4725926,17521,-7966,32804,-20041,0,0,,4697919
2015/Q3 (wrz 15) ,-3221108,17729,-3380,,-1030714,0,970917,,-4255202
2015/Q4 (gru 15) ,1024474,17580,-15402,55375,-17849,0,0, ,991223
2016/Q1 (mar 16) ,-1177493,18549,-9843,,-49208,0,0, ,-1236544
2016/Q2 (cze 16) ,-8345,17345,-12306,23608,-11771,0,0, ,-32422
2016/Q3 (wrz 16) ,635072,17197,-8406,,-626649,0,611487, ,17
2016/Q4 (gru 16,-400446,16831,-12349,44392,-4407,0,100, ,-417202
2017/Q1 (mar 17) ,1703810,16646,-37115,,-50611,0,0, ,1616084
2017/Q2 (cze 17) ,-1677870,18833,-19312,56547,-5595,0,0, ,-1702777
2017/Q3 (wrz 17) ,877272,18566,14182,,-635661,0,591887, ,255793
2017/Q4 (gru 17) ,-271255,15877,-55347,131255,11678,0,326, ,-314924
2018/Q1 (mar 18) ,41806,18680,-12587,,-25445,0,0, ,3774
2018/Q2 (cze 18) ,588931,18681,-18351,32801,-537011,0,537011, ,33569
2018/Q3 (wrz 18) ,190953,16793,-18057,,-10491,0,0, ,162405
2018/Q4 (gru 18) ,6818885,17230,-67765,127126,0,0,0, ,6751120
2019/Q1 (mar 19) ,-6858740,20967,-11917,,-7200,0,0, ,-6877857
2019/Q2 (cze 19) ,435970,21613,7433,25388,-491480,0,488667, ,-48077
2019/Q3 (wrz 19) ,3180206,21452,-1270,,-4156,0,0, ,3174780
2019/Q4 (gru 19) ,137691,22467,-63273,101036,-1434,0,0, ,72984
2020/Q1 (mar 20) ,-2879711,23575,-14575,,-5504,0,0, ,-2899790
2020/Q2 (cze 20) ,1482037,30450,-48180,64015,-2770,0,0, ,1431087
2020/Q3 (wrz 20) ,271468,25972,-12109,,-2750,0,0, ,256609
2020/Q4 (gru 20),1963204,26656,-31537,119367,-2813,0,0, ,1928854
2021/Q1 (mar 21) ,1963204,26656,-31537,119367,-2813,0,0, ,1928854
2021/Q2 (cze 21) ,10829442,27448,-11511,,-3054,0,0, ,10814877
2021/Q3 (wrz 21) ,-256397,28921,-5905,19596,-2871,0,0, ,-265173
2021/Q4 (gru 21) ,438245,28920,-27480,,-159712,0,156792, ,251053
2022/Q1 (mar 22) ,-8763480,26544,8478,85707,-2816,0,0, ,-8757818
2022/Q2 (cze 22) ,-3389475,26378,-12269,,-2935,0,0, ,-3404679
2022/Q3 (wrz 22) ,1259765,25854,-30927,60365,-2868,0,0, ,1225970
2022/Q4 (gru 22) ,5708008,25707,-22553,,-717595,0,714708, ,4967860
2023/Q1 (mar 23) ,-8627919,25077,-47413,142786,-2888,0,0, ,-8678220
2023/Q2 (cze 23) ,1162990,26306,-23054,,-3144,0,0, ,1136792
2023/Q3 (wrz 23) ,2237889,27800,-47193,72740,-1178810,0,1175937, ,1011886
2023/Q4 (gru 23) ,-2136853,27716,-60145,,-2888,0,0, ,-2199886
2024/Q1 (mar 24) ,160970,29213,-67241,209575,-2959,0,0, ,90770
2024/Q2 (cze 24) ,-167359,29527,-21699,,-7031,0,0, ,-196089
2024/Q3 (wrz 24) ,-489374,28626,-28278,65141,-18443,0,0, ,-536095
 ,2947572,30238,-54217,,-1457947,0,1454931, ,1435408
