Data-Kwartał,Kurs,Liczba akcji,Wartość księgowa na akcję,Cena / Wartość księgowa,Przychody ze sprzedaży na akcję,Cena / Przychody ze sprzedaży,Zysk na akcję,Cena / Zysk,Zysk operacyjny na akcję,Cena / Zysk operacyjny
2004/Q4 (gru 04) ,"64,1",130659600,"47,75","1,34~branża 2,11","18,01","3,56~branża 3,88","3,79","16,92~branża 17,19","4,67","13,71~branża 14,57"
2005/Q4 (gru 05) ,"66,49",130659600,"40,17","1,66~branża 2,55","18,31","3,63~branża 4,39","4,73","14,06~branża 16,49","6,14","10,83~branża 13,37"
2006/Q1 (mar 06) ,"72,5",130659600,"41,84","1,73~branża 1,73",18,"4,03~branża 4,03","5,48","13,24~branża 13,24","7,29","9,95~branża 9,95"
2006/Q2 (cze 06) ,"71,6",130659600,"38,25","1,87~branża 1,87","17,87","4,01~branża 4,01","4,93","14,54~branża 14,54","6,43","11,14~branża 11,14"
2006/Q3 (wrz 06) ,67,130659600,"39,79","1,68~branża 1,68","18,12","3,70~branża 3,70","4,67","14,35~branża 14,35","6,01","11,14~branża 11,14"
2006/Q4 (gru 06) ,"86,8",130659600,"41,47","2,09~branża 3,17","18,48","4,70~branża 5,52","5,03","17,26~branża 19,22","6,31","13,76~branża 15,84"
2007/Q1 (mar 07) ,"96,7",130659600,"43,1","2,24~branża 3,44","19,48","4,96~branża 6,00","4,73","20,43~branża 21,71","5,93","16,29~branża 17,91"
2007/Q2 (cze 07) ,125,130659600,"39,93","3,13~branża 4,21","20,34","6,15~branża 6,45","5,76","21,69~branża 21,82","7,2","17,36~branża 18,08"
2007/Q3 (wrz 07) ,"113,4",130659600,"41,58","2,73~branża 3,72","21,33","5,32~branża 5,74","6,02","18,83~branża 19,36","7,56","15,00~branża 16,04"
2007/Q4 (gru 07) ,"99,9",130659600,"42,88","2,33~branża 3,92","21,8","4,58~branża 4,71","6,31","15,84~branża 19,18","7,98","12,52~branża 14,59"
2008/Q1 (mar 08) ,"88,7",130659600,"44,43","2,00~branża 2,47","22,18","4,00~branża 4,00","6,18","14,36~branża 14,36","7,8","11,36~branża 11,36"
2008/Q2 (cze 08) ,80,130659600,"40,04","2,00~branża 2,00","22,37","3,58~branża 3,01","5,62","14,23~branża 13,22","7,07","11,31~branża 10,60"
2008/Q3 (wrz 08),"63,5",130659600,"42,59","1,49~branża 1,55","22,42","2,83~branża 2,55","5,91","10,75~branża 11,30","7,41","8,57~branża 8,57"
2008/Q4 (gru 08) ,48,130659600,"43,06","1,11~branża 1,32","23,26","2,06~branża 1,64","4,6","10,45~branża 9,45","5,79","8,29~branża 7,83"
2009/Q1 (mar 09) ,"37,3",130659600,"43,19","0,86~branża 0,86","22,99","1,62~branża 1,00","3,57","10,45~branża 7,10","4,58","8,14~branża 5,60"
2009/Q2 (cze 09) ,50,130659600,"44,06","1,13~branża 1,20","22,59","2,21~branża 1,33","2,82","17,76~branża 12,28","3,67","13,63~branża 10,24"
2009/Q3 (wrz 09) ,"63,4",130659600,"46,87","1,35~branża 1,70","22,13","2,87~branża 1,90","3,35","18,94~branża 18,94","4,29","14,77~branża 13,62"
2009/Q4 (gru 09) ,70,130659600,"47,45","1,48~branża 1,68","21,12","3,32~branża 2,15","3,86","18,13~branża 21,74","5,01","13,97~branża 14,79"
2010/Q1 (mar 10) ,80,130659600,"49,6","1,61~branża 1,85","20,88","3,83~branża 2,38","4,66","17,16~branża 20,10",6,"13,34~branża 14,97"
2010/Q2 (cze 10) ,74,130659600,"46,93","1,58~branża 1,58","20,82","3,55~branża 2,45","5,63","13,13~branża 17,15","7,19","10,30~branża 12,91"
2010/Q3 (wrz 10) ,"87,65",130659600,"48,6","1,80~branża 1,80","20,77","4,22~branża 2,67","5,06","17,31~branża 19,21","6,44","13,61~branża 15,22"
