Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1996-01-30,9.85533,9.85533,9.85533,9.85533,303259.99431503
1996-01-31,10.2097,10.2097,10.2097,10.2097,320396.91914452
1996-02-01,10.2097,10.2097,10.2097,10.2097,155699.83949041
1996-02-02,10.6339,10.6339,10.6339,10.6339,256716.00847179
1996-02-05,10.7425,10.7425,10.7425,10.7425,100829.18319612
1996-02-06,10.6339,10.6339,10.6339,10.6339,187789.17935474
1996-02-07,10.2097,10.2097,10.2097,10.2097,531686.98781319
1996-02-08,10.6339,10.6339,10.6339,10.6339,312570.59686368
1996-02-09,11.6962,11.6962,11.6962,11.6962,317456.72886601
1996-02-12,12.8664,12.8664,12.8664,12.8664,188026.45786845
1996-02-13,13.4705,13.4705,13.4705,13.4705,568004.7855386
1996-02-14,13.1162,13.1162,13.1162,13.1162,214366.95200399
1996-02-15,13.1162,13.1162,13.1162,13.1162,207806.97483433
1996-02-16,13.0797,13.0797,13.0797,13.0797,97486.651090011
1996-02-19,12.7625,12.7625,12.7625,12.7625,105394.21547066
1996-02-20,12.5835,12.5835,12.5835,12.5835,153606.88825268
1996-02-21,12.5835,12.5835,12.5835,12.5835,188053.53856838
1996-02-22,12.9378,12.9378,12.9378,12.9378,92978.359329614
1996-02-23,12.8664,12.8664,12.8664,12.8664,59133.93219815
1996-02-26,12.975,12.975,12.975,12.975,97592.394775466
1996-02-27,12.9037,12.9037,12.9037,12.9037,104843.57457201
1996-02-28,12.7625,12.7625,12.7625,12.7625,22252.598002688
1996-02-29,13.2216,13.2216,13.2216,13.2216,142707.55130792
1996-03-01,13.2914,13.2914,13.2914,13.2914,65031.076998005
1996-03-04,13.7535,13.7535,13.7535,13.7535,137555.77053481
1996-03-05,14.6407,14.6407,14.6407,14.6407,131728.2618205
1996-03-06,15.0997,15.0997,15.0997,15.0997,70442.058756192
1996-03-07,16.6243,16.6243,16.6243,16.6243,73954.812404739
1996-03-08,15.1695,15.1695,15.1695,15.1695,104899.02552901
1996-03-11,14.995,14.995,14.995,14.995,46884.428928126
1996-03-12,15.0997,15.0997,15.0997,15.0997,68488.379689544
1996-03-13,15.2789,15.2789,15.2789,15.2789,74007.684247466
1996-03-14,15.0997,15.0997,15.0997,15.0997,39706.753888547
1996-03-15,15.2409,15.2409,15.2409,15.2409,13281.148981785
1996-03-18,15.7737,15.7737,15.7737,15.7737,25227.60632398
1996-03-19,16.2358,16.2358,16.2358,16.2358,75951.046856996
1996-03-20,16.836,16.836,16.836,16.836,116935.75187099
1996-03-21,16.6615,16.6615,16.6615,16.6615,224695.01513586
1996-03-22,16.836,16.836,16.836,16.836,56004.177020094
1996-03-25,16.7655,16.7655,16.7655,16.7655,241575.31809455
1996-03-26,16.4832,16.4832,16.4832,16.4832,13585.484466755
1996-03-27,16.4119,16.4119,16.4119,16.4119,14924.044777765
1996-03-28,16.6243,16.6243,16.6243,16.6243,24150.826112329
1996-03-29,16.6615,16.6615,16.6615,16.6615,25388.800966442
1996-04-01,16.5903,16.5903,16.5903,16.5903,16092.383546334
1996-04-02,16.4119,16.4119,16.4119,16.4119,16635.287102149
1996-04-03,16.2358,16.2358,16.2358,16.2358,21371.830476272
1996-04-04,16.0582,16.0582,16.0582,16.0582,25062.543010098
1996-04-05,16.2358,16.2358,16.2358,16.2358,55803.006106301
1996-04-09,15.9528,15.9528,15.9528,15.9528,32790.858948329
1996-04-10,15.9528,15.9528,15.9528,15.9528,36196.57935428
1996-04-11,16.0954,16.0954,16.0954,16.0954,16623.681087891
1996-04-12,16.166,16.166,16.166,16.166,5100.1984875192
1996-04-15,16.4119,16.4119,16.4119,16.4119,19219.55961011
1996-04-16,16.4119,16.4119,16.4119,16.4119,36770.432281447
1996-04-17,16.4832,16.4832,16.4832,16.4832,15737.755332917
1996-04-18,16.7655,16.7655,16.7655,16.7655,36081.808768847
1996-04-19,16.6615,16.6615,16.6615,16.6615,14194.155436694
1996-04-22,16.7655,16.7655,16.7655,16.7655,56002.887462955
1996-04-23,16.836,16.836,16.836,16.836,72932.193592955
1996-04-24,16.836,16.836,16.836,16.836,77679.053424196
1996-04-25,16.836,16.836,16.836,16.836,18559.306354583
1996-04-26,16.2358,16.2358,16.2358,16.2358,52482.39647157
1996-04-29,16.4119,16.4119,16.4119,16.4119,27783.508574868
1996-04-30,16.4832,16.4832,16.4832,16.4832,19801.149880116
1996-05-06,16.4832,16.4832,16.4832,16.4832,29698.500927324
1996-05-07,16.836,16.836,16.836,16.836,24594.433768386
1996-05-08,16.836,16.836,16.836,16.836,68173.727747457
1996-05-09,17.0152,17.0152,17.0152,17.0152,34348.643973088
1996-05-10,16.836,16.836,16.836,16.836,42283.289053671
1996-05-13,17.0152,17.0152,17.0152,17.0152,19716.039108896
1996-05-14,17.2982,17.2982,17.2982,17.2982,175147.65071425
1996-05-15,17.1199,17.1199,17.1199,17.1199,112868.48865237
1996-05-16,17.1199,17.1199,17.1199,17.1199,86878.754058827
1996-05-17,16.9445,16.9445,16.9445,16.9445,62232.738004852
1996-05-20,16.8027,16.8027,16.8027,16.8027,42226.548539524
1996-05-21,16.7655,16.7655,16.7655,16.7655,16907.383658626
1996-05-22,16.4498,16.4498,16.4498,16.4498,23312.613971523
1996-05-23,16.2358,16.2358,16.2358,16.2358,31198.255880797
1996-05-24,15.9869,15.9869,15.9869,15.9869,49882.649277932
1996-05-27,15.883,15.883,15.883,15.883,26036.158650572
1996-05-28,15.6325,15.6325,15.6325,15.6325,12214.685227252
1996-05-29,15.2409,15.2409,15.2409,15.2409,20623.887335245
1996-05-30,15.0997,15.0997,15.0997,15.0997,14170.943408179
1996-05-31,15.1695,15.1695,15.1695,15.1695,1419.8024108113
1996-06-03,15.2789,15.2789,15.2789,15.2789,1564.2328104579
1996-06-04,15.3494,15.3494,15.3494,15.3494,4913.2127022625
1996-06-05,15.4207,15.4207,15.4207,15.4207,27274.133504686
1996-06-07,15.3494,15.3494,15.3494,15.3494,2638.4339078292
1996-06-10,15.4207,15.4207,15.4207,15.4207,3110.4118209599
1996-06-11,15.4207,15.4207,15.4207,15.4207,53339.951969471
1996-06-12,15.2075,15.2075,15.2075,15.2075,2072.3183235002
1996-06-13,15.2409,15.2409,15.2409,15.2409,6656.6939551389
1996-06-14,15.1695,15.1695,15.1695,15.1695,13086.42585369
1996-06-17,15.3494,15.3494,15.3494,15.3494,15990.508532298
1996-06-18,15.1695,15.1695,15.1695,15.1695,34538.208872624
1996-06-19,15.3494,15.3494,15.3494,15.3494,59351.867354759
1996-06-20,15.3828,15.3828,15.3828,15.3828,134467.28118523
1996-06-21,15.2409,15.2409,15.2409,15.2409,110248.1085445
1996-06-24,15.2409,15.2409,15.2409,15.2409,73707.217433916
1996-06-25,15.2409,15.2409,15.2409,15.2409,77512.700553175
1996-06-26,15.3494,15.3494,15.3494,15.3494,178907.99933362
1996-06-27,15.2409,15.2409,15.2409,15.2409,69046.757931035
1996-06-28,15.1695,15.1695,15.1695,15.1695,126448.81489057
1996-07-01,15.1695,15.1695,15.1695,15.1695,29034.379000378
1996-07-02,15.0672,15.0672,15.0672,15.0672,59210.016069392
1996-07-03,15.0672,15.0672,15.0672,15.0672,31265.312852062
1996-07-04,15.0672,15.0672,15.0672,15.0672,72513.087522552
1996-07-05,15.703,15.703,15.703,15.703,130196.26793854
1996-07-08,15.1695,15.1695,15.1695,15.1695,153677.81389536
1996-07-09,15.0672,15.0672,15.0672,15.0672,72252.596980333
1996-07-10,15.0672,15.0672,15.0672,15.0672,22066.901774571
1996-07-11,14.9252,14.9252,14.9252,14.9252,30861.681467335
1996-07-12,14.9252,14.9252,14.9252,14.9252,2484.9766082047
1996-07-15,14.9252,14.9252,14.9252,14.9252,23994.789698425
1996-07-16,14.8159,14.8159,14.8159,14.8159,16027.905689349
1996-07-17,14.4631,14.4631,14.4631,14.4631,30421.942482697
1996-07-18,14.2871,14.2871,14.2871,14.2871,7068.0626827037
1996-07-19,14.5337,14.5337,14.5337,14.5337,18031.877484445
1996-07-22,14.1087,14.1087,14.1087,14.1087,2098.1094662943
1996-07-23,14.0033,14.0033,14.0033,14.0033,4142.0575327211
1996-07-24,14.1087,14.1087,14.1087,14.1087,3223.8928492536
1996-07-25,14.1087,14.1087,14.1087,14.1087,7233.1259965854
1996-07-26,14.5337,14.5337,14.5337,14.5337,151717.68704302
1996-07-29,14.8865,14.8865,14.8865,14.8865,7154.4630110637
1996-07-30,14.8159,14.8159,14.8159,14.8159,5091.1715875413
1996-07-31,14.8159,14.8159,14.8159,14.8159,20140.303407857
1996-08-01,14.3576,14.3576,14.3576,14.3576,7346.6070248792
1996-08-02,14.2871,14.2871,14.2871,14.2871,1930.4670381331
1996-08-05,14.2157,14.2157,14.2157,14.2157,4500.5544175581
1996-08-06,14.1801,14.1801,14.1801,14.1801,45981.738930335
1996-08-07,14.1087,14.1087,14.1087,14.1087,8324.0913367729
1996-08-08,14.1801,14.1801,14.1801,14.1801,34239.031616213
1996-08-09,14.1801,14.1801,14.1801,14.1801,23126.917743406
1996-08-12,14.1087,14.1087,14.1087,14.1087,18242.075298217
1996-08-13,14.1801,14.1801,14.1801,14.1801,78986.664363854
1996-08-14,14.1801,14.1801,14.1801,14.1801,82343.381598497
1996-08-16,14.1801,14.1801,14.1801,14.1801,159204.85579612
1996-08-19,14.3576,14.3576,14.3576,14.3576,34820.621886219
1996-08-20,14.5337,14.5337,14.5337,14.5337,68492.248360963
1996-08-21,14.8865,14.8865,14.8865,14.8865,40501.121086604
1996-08-22,15.0672,15.0672,15.0672,15.0672,61033.44986493
1996-08-23,16.5903,16.5903,16.5903,16.5903,0
1996-08-26,17.2982,17.2982,17.2982,17.2982,123335.82395533
1996-08-27,16.5903,16.5903,16.5903,16.5903,221223.52731578
1996-08-28,16.5903,16.5903,16.5903,16.5903,25221.158538281
1996-08-29,16.2358,16.2358,16.2358,16.2358,48872.926037545
1996-08-30,16.7655,16.7655,16.7655,16.7655,20840.532934715
