Data,Przychody ze sprzedaży,Techniczny koszt wytworzenia produkcji sprzedanej,Koszty sprzedaży,Koszty ogólnego zarządu,Zysk ze sprzedaży,Pozostałe przychody operacyjne,Pozostałe koszty operacyjne,Zysk operacyjny (EBIT),Przychody finansowe,Koszty finansowe,Pozostałe przychody (koszty),Zysk z działalności gospodarczej,Wynik zdarzeń nadzwyczajnych,Zysk przed opodatkowaniem,Zysk (strata) netto z działalności zaniechanej,Zysk netto,Zysk netto akcjonariuszy jednostki dominującej
2005/Q1 (mar 05) ,157904,134750,0,0,23154,0,3602,19552,4437,3364,0,20625,0,20625,0,17480,17377
2005/Q2 (cze 05) ,197882,163487,0,0,34395,0,5860,28535,3224,-725,0,32484,0,32484,0,28020,27843
2005/Q3 (wrz 05) ,201703,168441,0,0,33262,0,4163,29099,3891,53,0,32937,0,32937,0,27834,28114
2005/Q4 (gru 05) ,213914,189692,0,0,24222,0,7233,16989,799,806,0,16982,0,16982,0,15358,14682
2006/Q1 (mar 06) ,234438,209545,0,0,24893,0,13493,11400,2018,3187,0,10231,0,10231,0,9291,9200
2006/Q2 (cze 06) ,299722,252221,0,0,47501,0,5660,41841,2130,3493,0,40478,0,40478,0,34382,34313
2006/Q3 (wrz 06) ,291701,249964,0,0,41737,0,6355,35382,3350,8398,0,30334,0,30334,0,25220,25205
2006/Q4 (gru 06) ,298563,269168,0,0,29395,0,8371,21024,-1743,735,0,18546,0,18546,0,19090,19084
2007/Q1 (mar 07) ,316238,283923,0,0,32315,0,5190,27125,4388,3360,0,28153,0,28153,0,21613,21613
2007/Q2 (cze 07) ,329462,297415,0,0,32047,0,3246,28801,910,4115,0,25596,0,25596,0,20682,20682
2007/Q3 (wrz 07) ,333531,288598,0,0,44933,0,3804,41129,212,6028,0,35313,0,35313,0,28482,28482
2007/Q4 (gru 07) ,301460,243969,0,0,57491,0,13478,44013,48,11312,0,32749,0,32749,0,27505,27505
2008/Q1 (mar 08) ,285803,247252,0,0,38551,0,5167,33384,623,12172,0,21835,0,21835,0,17208,17208
2008/Q2 (cze 08) ,306215,268544,0,0,37671,0,5002,32669,913,6690,0,26892,0,26892,0,20958,20958
2008/Q3 (wrz 08) ,296844,255591,0,0,41253,0,4564,36689,-221,7561,0,28907,0,28907,0,22725,22725
2008/Q4 (gru 08) ,278307,244842,0,0,33465,0,9533,23932,513,30925,0,-6480,0,-6480,0,319,319
2009/Q1 (mar 09,227797,194072,0,0,33725,0,3663,30062,460,26133,0,4389,0,4389,0,2792,2792
2009/Q2 (cze 09) ,282871,234973,0,0,47898,0,12352,35546,369,9376,0,26539,0,26539,0,20568,20568
2009/Q3 (wrz 09) ,306252,258136,0,0,48116,0,9386,38730,3089,39,0,41780,0,41780,0,32537,32537
2009/Q4 (gru 09) ,286590,257383,0,0,29207,0,21303,7904,-1012,-12272,0,19164,0,19164,0,14883,14696
2010/Q1 (mar 10) ,244479,222776,0,0,21703,0,3505,18198,5981,3892,0,20287,0,20287,0,15010,15011
2010/Q2 (cze 10) ,297919,266209,0,0,31710,0,7836,23874,3706,3504,0,24076,0,24076,0,19300,19301
2010/Q3 (wrz 10) ,353016,298102,0,0,54914,0,8982,45932,3060,2016,0,46976,0,46976,0,37215,37206
2010/Q4 (gru 10) ,351771,298118,0,0,53653,0,23696,29957,-5209,3808,0,20940,0,20940,0,18183,18184
2011/Q1 (mar 11) ,344313,311227,0,0,33086,0,6891,26195,671,3651,0,23215,0,23215,0,18844,18845
2011/Q2 (cze 11) ,380852,333097,0,0,47755,0,6152,41603,79,3569,0,38113,0,38113,0,30874,30874
2011/Q3 (wrz 11) ,413489,356618,0,0,56871,0,4150,52721,290,10142,0,42869,0,42869,0,34042,34042
2011/Q4 (gru 11) ,395023,336234,0,0,58789,0,28212,30577,184,5580,0,25181,0,25181,0,30488,30488
2012/Q1 (mar 12) ,360792,327895,0,0,32897,0,5267,27630,5727,2936,0,30421,0,30421,0,23924,23924
2012/Q2 (cze 12) ,391605,343005,0,0,48600,0,7108,41492,-2550,3002,0,35940,0,35940,0,31846,31846
2012/Q3 (wrz 12) ,440046,387924,0,0,52122,12231,10500,53853,3293,3228,0,53918,0,53918,0,44012,44012
2012/Q4 (gru 12) ,389478,360514,0,0,28964,1579,11443,19100,1893,4456,0,16537,0,16537,0,17267,17267
2013/Q1 (mar 13) ,358525,327799,0,0,30726,0,5128,25598,517,4356,0,21759,0,21759,0,16996,16996
2013/Q2 (cze 13),383822,346087,0,0,37735,0,4629,33106,513,3279,0,30340,0,30340,0,42887,42887
2013/Q3 (wrz 13) ,450388,387417,0,0,62971,0,6016,56955,388,1713,0,55630,0,55630,0,43999,43999
2013/Q4 (gru 13) ,444973,399232,0,0,45741,0,16487,29254,465,3374,0,26345,0,26345,0,49601,49601
2014/Q1 (mar 14) ,415604,359704,0,0,55900,0,7506,48394,435,8549,0,40280,0,40280,0,30765,30765
2014/Q2 (cze 14) ,441697,375801,0,0,65896,0,4763,61133,339,2537,0,58935,0,58935,0,52641,52641
2014/Q3 (wrz 14) ,493747,403639,0,0,90108,0,8487,81621,426,5359,0,76688,0,76688,0,62210,62210
2014/Q4 (gru 14) ,484113,450851,0,0,33262,15609,15393,33478,113,7524,-111,25956,0,25956,0,23415,23415
2015/Q1 (mar 15) ,471502,416196,0,0,55306,1730,4716,52320,162,13312,-143,39027,0,39027,0,35114,35114
2015/Q2 (cze 15) ,503297,443908,0,0,59389,8475,5706,62158,271,-5596,-109,67916,0,67916,0,57575,57575
2015/Q3 (wrz 15) ,547030,462739,0,0,84291,1664,5458,80497,260,3717,-2,77038,0,77038,0,65421,65421
2015/Q4 (gru 15) ,505317,445300,0,0,60017,6431,16982,49466,427,4646,254,45501,0,45501,0,51703,51703
2016/Q1 (mar 16) ,519038,449546,0,0,69492,1260,4735,66017,828,8089,0,58756,0,58756,0,54080,54080
