Data-Kwartał,ROE,ROA,Marża zysku operacyjnego,Marża zysku netto,Marża zysku ze sprzedaży,Marża zysku brutto,Marża zysku brutto ze sprzedaży,Rentowność operacyjna aktywów
2004/Q4 (gru 04) ,"16,93%~branża 16,46%","12,63%~branża 11,08%","14,97%~branża 8,30%","12,09%~branża 7,10%","17,93%~branża 7,97%","14,16%~branża 8,61%",,"15,64%~branża 13,14%"
2005/Q4 (gru 05) ,"14,35%~branża 14,98%","10,02%~branża 9,75%","12,21%~branża 7,50%","11,41%~branża 7,41%","14,91%~branża 7,10%","13,36%~branża 8,59%",,"10,73%~branża 11,48%"
2006/Q1 (mar 06) ,"12,84%~branża 15,36%","8,24%~branża 8,78%","10,14%~branża 7,82%","9,42%~branża 6,98%","13,77%~branża 7,43%","10,92%~branża 8,60%",,"8,88%~branża 10,87%"
2006/Q2 (cze 06) ,"14,03%~branża 13,46%","8,26%~branża 8,12%","10,46%~branża 6,84%","9,09%~branża 5,64%","13,67%~branża 6,49%","10,59%~branża 7,34%",,"9,51%~branża 10,24%"
2006/Q3 (wrz 06) ,"12,94%~branża 13,48%","7,69%~branża 7,38%","10,16%~branża 7,54%","8,02%~branża 6,15%","13,31%~branża 6,98%","9,43%~branża 8,06%",,"9,74%~branża 10,16%"
2006/Q4 (gru 06) ,"13,24%~branża 12,48%","7,64%~branża 7,56%","9,75%~branża 6,68%","7,81%~branża 5,59%","12,76%~branża 5,85%","8,86%~branża 7,12%",,"9,54%~branża 9,76%"
2007/Q1 (mar 07) ,"14,63%~branża 11,60%","8,44%~branża 7,64%","10,39%~branża 6,23%","8,31%~branża 5,28%","12,51%~branża 5,20%","9,74%~branża 6,78%",,"10,56%~branża 9,31%"
2007/Q2 (cze 07) ,"13,01%~branża 10,42%","6,89%~branża 6,55%","9,09%~branża 6,14%","7,01%~branża 4,79%","10,96%~branża 5,44%","8,30%~branża 6,25%",,"8,94%~branża 8,48%"
2007/Q3 (wrz 07) ,"13,12%~branża 11,62%","6,74%~branża 6,40%","9,24%~branża 5,44%","7,03%~branża 4,68%","10,85%~branża 5,30%","8,42%~branża 6,05%",,"8,86%~branża 8,22%"
2007/Q4 (gru 07) ,"13,88%~branża 12,16%","7,48%~branża 6,74%","11,01%~branża 6,56%","7,67%~branża 6,18%","13,02%~branża 5,84%","9,51%~branża 7,08%",,"10,74%~branża 9,06%"
2008/Q1 (mar 08) ,"12,89%~branża 12,53%","7,14%~branża 7,01%","11,78%~branża 6,52%","7,51%~branża 5,74%","13,84%~branża 6,29%","9,24%~branża 7,11%",,"11,20%~branża 8,98%"
2008/Q2 (cze 08) ,"13,24%~branża 12,78%","6,99%~branża 6,86%","12,32%~branża 6,96%","7,67%~branża 5,84%","14,56%~branża 6,49%","9,52%~branża 7,19%",,"11,23%~branża 8,21%"
2008/Q3 (wrz 08) ,"12,02%~branża 12,81%","6,59%~branża 6,62%","12,33%~branża 7,08%","7,43%~branża 5,77%","14,70%~branża 6,28%","9,27%~branża 7,30%",,"10,94%~branża 9,06%"
2008/Q4 (gru 08) ,"8,44%~branża 14,64%","4,61%~branża 0,61%","10,85%~branża 4,76%","5,24%~branża 1,82%","12,93%~branża 5,42%","6,10%~branża 2,26%",,"9,54%~branża 4,45%"
2009/Q1 (mar 09) ,"6,46%~branża 10,30%","3,57%~branża 1,54%","11,12%~branża 4,76%","4,22%~branża 1,74%","13,17%~branża 5,52%","4,84%~branża 2,14%",,"9,41%~branża 3,94%"
2009/Q2 (cze 09) ,"6,15%~branża 13,96%","3,46%~branża 1,75%","11,63%~branża 5,02%","4,27%~branża 2,16%","14,40%~branża 5,56%","4,91%~branża 1,38%",,"9,40%~branża 4,20%"
