Data-Kwartał,Kurs,Liczba akcji,Wartość księgowa na akcję,Cena / Wartość księgowa,Wartość księgowa Grahama na akcję,Cena / Wartość księgowa Grahama,Przychody ze sprzedaży na akcję,Cena / Przychody ze sprzedaży,Zysk na akcję,Cena / Zysk,Zysk operacyjny na akcję,Cena / Zysk operacyjny,Enterprise Value na akcję,EV / Przychody ze sprzedaży,EV / EBIT,EV / EBITDA
2004/Q4 (gru 04) ,131,9225663,"60,88","2,15~branża 1,87","11,34","11,55~branża 5,27","85,23","1,54~branża 0,85","10,31","12,71~branża 11,98","12,76","10,26~branża 9,71","136,83","1,61~branża 0,77","10,72~branża 8,09","8,28~branża 6,21"
2005/Q4 (gru 05) ,"125,5",9225663,"66,47","1,89~branża 1,76","8,13","15,44~branża 4,55","83,61","1,50~branża 0,75","9,54","13,15~branża 12,61","10,21","12,29~branża 11,28","136,09","1,63~branża 0,63","13,33~branża 10,91","9,57~branża 6,68"
2006/Q1 (mar 06) ,128,9225663,"67,38","1,90~branża 2,01","2,04","62,88~branża 9,48","91,91","1,39~branża 0,77","8,65","14,79~branża 11,82","9,32","13,73~branża 12,15","150,14","1,63~branża 0,88","16,10~branża 12,78","11,05~branża 9,61"
2006/Q2 (cze 06) ,126,9225663,"66,69","1,89~branża 1,97","-5,3",,"102,95","1,22~branża 0,81","9,36","13,47~branża 13,35","10,77","11,70~branża 11,94","146,25","1,42~branża 0,77","13,58~branża 12,46","9,62~branża 9,20"
2006/Q3 (wrz 06) ,182,9225663,"69,89","2,60~branża 2,76","-2,95",,"112,7","1,61~branża 1,02","9,04","20,13~branża 17,61","11,45","15,90~branża 14,09","206,72","1,83~branża 0,95","18,06~branża 16,73","12,86~branża 10,54"
2006/Q4 (gru 06) ,200,9225663,"71,88","2,78~branża 2,98","-6,23",,"121,88","1,64~branża 1,03","9,52","21,01~branża 23,39","11,89","16,83~branża 14,77","227,87","1,87~branża 0,94","19,17~branża 19,07","13,64~branża 11,86"
2007/Q1 (mar 07) ,191,9225663,"74,25","2,57~branża 3,18","-5,47",,"130,75","1,46~branża 1,22","10,86","17,58~branża 25,04","13,59","14,06~branża 19,20","221,55","1,69~branża 1,12","16,30~branża 18,06","11,96~branża 12,81"
2007/Q2 (cze 07) ,"230,5",9225663,"72,12","3,20~branża 3,15","-13,44",,"133,97","1,72~branża 1,56","9,39","24,56~branża 28,95","12,18","18,93~branża 21,23","264,3","1,97~branża 1,61","21,71~branża 20,67","15,25~branża 15,06"
2007/Q3 (wrz 07) ,194,9225663,"74,25","2,61~branża 2,37","-14,08",,"138,5","1,40~branża 1,37","9,74","19,92~branża 19,92","12,8","15,16~branża 15,55","233,29","1,68~branża 1,26","18,23~branża 15,18","12,81~branża 11,46"
2007/Q4 (gru 07) ,160,9225663,"76,76","2,08~branża 1,91","-14,42",,"138,82","1,15~branża 0,85","10,65","15,02~branża 15,72","15,29","10,46~branża 11,14","198,21","1,43~branża 0,99","12,96~branża 12,20","9,46~branża 9,10"
2008/Q1 (mar 08) ,"119,9",9225663,"78,94","1,52~branża 1,53","-12,18",,"135,52","0,88~branża 0,70","10,18","11,78~branża 12,74","15,97","7,51~branża 10,00","160,03","1,18~branża 0,83","10,02~branża 11,72","7,30~branża 8,07"
2008/Q2 (cze 08) ,"96,9",9225663,"77,09","1,26~branża 1,08","-15,14",,133,"0,73~branża 0,51","10,21","9,49~branża 9,49","16,39","5,91~branża 9,45","135,45","1,02~branża 0,63","8,26~branża 8,95","5,98~branża 6,81"
2008/Q3 (wrz 08),"78,8",9225663,"79,73","0,99~branża 1,04","-12,96",,"129,02","0,61~branża 0,47","9,58","8,22~branża 8,22","15,91","4,95~branża 8,56","120,63","0,93~branża 0,62","7,58~branża 8,06","5,39~branża 7,36"
2008/Q4 (gru 08) ,60,9225663,"78,65","0,76~branża 0,76","-15,95",,"126,51","0,47~branża 0,30","6,63","9,04~branża 9,04","13,73","4,37~branża 4,67","99,11","0,78~branża 0,53","7,22~branża -4,23","4,85~branża 9,00"
2009/Q1 (mar 09) ,"61,1",9225663,"78,47","0,78~branża 0,78","-14,4",,"120,23","0,51~branża 0,33","5,07","12,05~branża 12,05","13,37","4,57~branża 6,07","97,35","0,81~branża 0,66","7,28~branża 3,51","4,82~branża 5,12"
