Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2014-06-25,14.6779,14.6779,13.5199,13.5199,207302.08830068
2014-06-26,13.5604,14.3925,13.5604,14.0181,34753.967339988
2014-06-27,14.0498,14.2703,14.0459,14.0839,5054.549431018
2014-06-30,14.0911,14.2664,14.0911,14.1886,4416.5843494278
2014-07-01,14.2338,14.2338,14.0625,14.0672,806.91235616152
2014-07-02,14.1283,14.1283,13.8055,13.8626,81948.253770984
2014-07-03,13.8626,13.8626,13.7436,13.8626,12068.38292684
2014-07-04,13.8626,14.2703,13.8626,14.2703,457.67060201036
2014-07-07,14.2664,14.2664,13.8626,13.8626,69338.987405405
2014-07-08,13.8626,13.8626,13.8586,13.8626,2889.7548755034
2014-07-09,13.8333,13.8333,13.8055,13.8055,243.33450740496
2014-07-10,13.8055,13.8055,13.7032,13.7032,186.59848236235
2014-07-11,13.7,13.7,13.6588,13.7,231.98730239644
2014-07-14,13.777,13.7802,13.777,13.7802,14447.51357696
2014-07-15,13.7032,13.8626,13.7032,13.8626,268.55051853501
2014-07-16,13.8626,13.8626,13.7405,13.7405,36.563216138569
2014-07-17,13.7079,13.7802,13.6175,13.7802,1117.0692930611
2014-07-18,13.5811,13.5811,13.5771,13.5771,13051.807360912
2014-07-21,13.6882,13.7365,13.5969,13.5969,9797.6811245799
2014-07-22,13.5969,13.7365,13.5969,13.7365,27.737612243052
2014-07-23,13.7405,13.7405,13.5771,13.5771,6539.7724865778
2014-07-25,13.6945,13.6945,13.4137,13.4542,10049.84123588
2014-07-28,13.5359,13.6945,13.5359,13.6945,1238.1061464853
2014-07-29,13.7365,13.7405,13.6794,13.7365,3293.2110535842
2014-07-30,13.6945,13.7,13.6945,13.7,1814.2920008069
2014-07-31,13.7,13.7,13.6945,13.7,740.08992666689
2014-08-01,13.6913,13.6913,13.5771,13.6747,3934.9585368439
2014-08-04,13.7,13.7,13.6381,13.6882,9224.0168713713
2014-08-05,13.6794,13.6794,13.5969,13.6175,9464.8297776633
2014-08-06,13.6175,13.6175,13.4542,13.5041,19794.568737087
