Data,Przychody ze sprzedaży,Techniczny koszt wytworzenia produkcji sprzedanej,Koszty sprzedaży,Koszty ogólnego zarządu,Zysk ze sprzedaży,Pozostałe przychody operacyjne,Pozostałe koszty operacyjne,Zysk operacyjny (EBIT),Przychody finansowe,Koszty finansowe,Pozostałe przychody (koszty),Zysk z działalności gospodarczej,Wynik zdarzeń nadzwyczajnych,Zysk przed opodatkowaniem,Zysk (strata) netto z działalności zaniechanej,Zysk netto,Zysk netto akcjonariuszy jednostki dominującej
2011/Q1 (mar 11) ,282089,236690,16740,11945,16714,1327,252,17789,936,11684,249,7290,0,7290,0,6681,6681
2011/Q2 (cze 11) ,120180,104329,7965,4317,3569,3543,15,7097,200,-220,-126,7391,0,7391,2033,9276,9276
2011/Q3 (wrz 11) ,186398,163713,10028,8768,3889,4149,1024,7014,4039,15130,122,-3955,0,-3955,7905,2751,2750
2011/Q4 (gru 11) ,232250,184412,17560,10257,20021,17155,-103,37279,221,1882,210,35828,0,35828,1102,33511,33511
2012/Q1 (mar 12) ,243002,202362,13294,11171,16175,2790,826,18139,991,7259,247,12118,0,12118,1317,12981,12979
2012/Q2 (cze 12) ,267260,223832,16623,10141,16664,1126,1564,16226,211124,5013,0,222337,0,222337,-6,221698,221699
2012/Q3 (wrz 12) ,258032,224348,13974,9129,10581,3406,1461,12526,666,4835,63,8420,0,8420,0,7881,7878
2012/Q4 (gru 12) ,288594,234045,18555,8942,27052,2195,2269,26978,1051,4452,-5,23572,0,23572,0,23806,23805
2013/Q1 (mar 13) ,289093,233792,16544,14904,23853,5079,2210,26722,1948,4132,145,24683,0,24683,0,22303,22302
2013/Q2 (cze 13) ,302455,251277,20441,10746,19991,1004,1412,19583,2387,3978,-68,17924,0,17924,0,15998,15998
2013/Q3 (wrz 13) ,262852,219999,21253,10441,11159,691,1541,10309,-1004,3872,24,5457,0,5457,0,4962,4959
2013/Q4 (gru 13) ,246788,197701,20825,8231,20031,10320,9742,20609,-313,2614,77,17759,0,17759,0,15021,15021
2014/Q1 (mar 14) ,263472,218518,18105,11038,15811,2350,677,17484,544,2566,394,15856,0,15856,0,14421,14419
2014/Q2 (cze 14) ,267934,222407,19605,10373,15549,5990,4399,17140,71,2838,102,14475,0,14475,0,13559,13558
2014/Q3 (wrz 14) ,287462,239673,19372,11492,16925,4279,3380,17824,1297,2285,376,17212,0,17212,0,15307,15306
2014/Q4 (gru 14) ,274075,208796,22552,14045,28682,-4905,-4797,28574,2387,2857,113,28217,0,28217,0,27924,27923
2015/Q1 (mar 15) ,253833,209655,16230,14986,12962,1501,3589,10874,1233,4973,0,7134,0,7134,0,4951,4949
2015/Q2 (cze 15) ,247121,199325,17664,12681,17451,1935,1466,17920,665,2652,0,15933,0,15933,0,14231,14227
2015/Q3 (wrz 15) ,277911,217027,20084,12836,27964,1671,1071,28564,323,2152,0,26735,0,26735,0,25921,25919
2015/Q4 (gru 15) ,269884,196491,19256,14044,40093,4682,839,43936,575,3036,0,41475,0,41475,0,39657,39657
2016/Q1 (mar 16),281589,208131,19474,17391,36593,2034,1154,37473,838,5962,0,32349,0,32349,0,29714,29712
2016/Q2 (cze 16) ,267448,190924,20380,18215,37929,3397,1686,39640,1528,4192,0,36976,0,36976,0,35615,35613
2016/Q3 (wrz 16) ,265395,203091,18171,15602,28531,5351,1142,32740,3357,3785,0,32312,0,32312,0,30495,30491
2016/Q4 (gru 16) ,292762,194007,19418,17562,61775,58686,,124443,,-2122,0,120842,0,120842,0,106902,106899
2017/Q1 (mar 17) ,303670,221720,42384,0,39566,573,0,40139,0,2859,0,37280,0,37280,0,33699,33696
2017/Q2 (cze 17) ,325332,234156,41771,0,49405,-195,0,49210,0,4634,-1024,43552,0,43552,0,41514,41512
2017/Q3 (wrz 17) ,312356,240356,39737,0,32263,1679,0,33942,0,5606,-502,27834,0,27834,0,25632,25626
2017/Q4 (gru 17) ,344534,231180,43537,0,69817,8035,0,77852,0,1606,-858,75388,0,75388,0,81517,81512
2018/Q1 (mar 18) ,362371,245188,49257,0,67926,2778,0,70704,0,3254,-586,66864,0,66864,0,63926,63920
2018/Q2 (cze 18) ,358789,262881,47877,0,48031,2265,0,50296,0,4761,-254,45281,0,45281,0,44189,44184
2018/Q3 (wrz 18) ,379731,259068,55243,0,65420,-2504,0,62916,0,5734,-1427,55755,0,55755,0,53157,53154
2018/Q4 (gru 18) ,388912,271392,39412,0,78108,1086,0,79194,0,6357,-6620,66217,0,66217,0,65516,65513
2019/Q1 (mar 19) ,384116,268984,55467,0,59665,845,0,60510,0,5727,-3026,51757,0,51757,0,37746,37735
2019/Q2 (cze 19) ,350325,280469,51316,0,18540,2540,0,21080,0,7329,-281,13470,0,13470,0,4056,4049
2019/Q3 (wrz 19) ,389206,291685,51696,0,45825,12463,0,58288,0,8128,-950,49210,0,49210,0,37564,37557
2019/Q4 (gru 19) ,368264,283904,45080,0,39280,-5528,0,33752,0,7637,-4237,21878,0,21878,0,13927,13924
2020/Q1 (mar 20) ,374400,307693,56543,0,10164,18504,0,28668,0,7337,-10,21321,0,21321,0,16045,16039
2020/Q2 (cze 20) ,329483,257358,47166,0,24959,-1069,0,23890,0,7674,72,16288,0,16288,0,14137,14132
2020/Q3 (wrz 20) ,341796,266956,52061,0,22779,21110,0,43889,0,5782,548,38655,0,38655,0,29230,29224
2020/Q4 (gru 20) ,430171,300242,59770,0,70159,13066,0,83225,0,7249,741,76717,0,76717,0,57993,57995
2021/Q1 (mar 21) ,495387,334513,71239,0,89635,3614,0,93249,0,6062,1882,89069,0,89069,0,69534,69530
2021/Q2 (cze 21),559352,377368,66543,0,115441,-8085,0,107356,0,7144,3453,103665,0,103665,0,90145,90142
2021/Q3 (wrz 21) ,541891,383170,71075,0,87646,7401,0,95047,0,5100,1187,91134,0,91134,0,76667,76662
2021/Q4 (gru 21) ,606676,402482,63418,0,140776,46445,0,187221,0,4180,-88,182953,0,182953,0,180976,180970
2022/Q1 (mar 22) ,697370,463608,85493,0,148269,8130,0,156399,0,3856,585,153128,0,153128,0,123884,123878
2022/Q2 (cze 22) ,714172,491537,89220,0,133415,4447,0,137862,0,5404,3560,136018,0,136018,0,117422,117415
2022/Q3 (wrz 22) ,802484,524761,118130,0,159593,25118,0,184711,0,6973,1345,179083,0,179083,0,146506,146498
2022/Q4 (gru 22) ,928686,514558,71629,0,342499,10762,0,353261,0,5847,-1927,345487,0,345487,0,287273,287265
2023/Q1 (mar 23) ,779974,520047,94110,0,165817,16557,0,182374,0,8299,-252,173823,0,173823,0,140542,140538
2023/Q2 (cze 23) ,560876,451313,74944,0,34619,-10723,0,23896,0,8261,1260,16895,0,16895,0,15131,15119
2023/Q3 (wrz 23) ,512065,409357,73750,0,28958,13941,0,42899,0,8513,315,34701,0,34701,0,29813,29803
2023/Q4 (gru 23) ,535276,423223,55109,0,56944,36761,0,93705,0,5458,-13,88234,0,88234,0,82393,82380
2024/Q1 (mar 24) ,491924,390077,70959,0,30888,-3988,0,26900,0,8152,1447,20195,0,20195,0,16361,16354
2024/Q2 (cze 24) ,508413,389971,71984,0,46458,593,0,47051,0,8310,710,39451,0,39451,0,29730,29711
2024/Q3 (wrz 24),459752,387516,67358,0,4878,-2815,0,2063,0,9164,-530,-7631,0,-7631,0,-7432,-7439
