Data-Kwartał,Kurs,Liczba akcji,Wartość księgowa na akcję,Cena / Wartość księgowa,Wartość księgowa Grahama na akcję,Cena / Wartość księgowa Grahama,Przychody ze sprzedaży na akcję,Cena / Przychody ze sprzedaży,Zysk na akcję,Cena / Zysk,Zysk operacyjny na akcję,Cena / Zysk operacyjny,Enterprise Value na akcję,EV / Przychody ze sprzedaży,EV / EBIT,EV / EBITDA
2010/Q4 (gru 10) ,0,18265036,"15,99",,"-30,4",,"50,04",,"0,94",,"1,92",,,,,
2011/Q4 (gru 11) ,0,18265036,"16,62",,"-31,92",,"44,94",,"2,86",,"3,79",,,,,
2012/Q1 (mar 12) ,0,18265036,"18,16",,"-30,62",,"42,8",,"3,2",,"3,81",,,,,
2012/Q2 (cze 12) ,0,18265036,"27,02",,"-11,27",,"50,86",,"14,83",,"4,31",,,,,
2012/Q3 (wrz 12) ,0,18265036,"27,46",,"-11,04",,"54,78",,"15,11",,"4,61",,,,,
2012/Q4 (gru 12) ,0,18265036,"28,65",,"-11,4",,"57,86",,"14,58",,"4,04",,,,,
2013/Q1 (mar 13) ,0,18265036,"27,18",,"-13,09",,"60,39",,"15,09",,"4,51",,,,,
2013/Q2 (cze 13) ,0,18265036,"28,06",,"-12,56",,"62,31",,"3,83",,"4,7",,,,,
2013/Q3 (wrz 13) ,0,18265036,"28,33",,"-12,68",,"62,58",,"3,67",,"4,58",,,,,
2013/Q4 (gru 13) ,0,18265036,"29,15",,"-13,45",,"60,29",,"3,19",,"4,23",,,,,
2014/Q1 (mar 14) ,0,18265036,"26,18",,"-16,79",,"58,89",,"2,76",,"3,72",,,,,
2014/Q2 (cze 14) ,"34,8",19853300,"27,37","1,27~branża 1,55","-14,48",,"52,44","0,66~branża 0,77","2,42","14,41~branża 47,14","3,3","10,54~branża 31,74","47,61","0,91~branża 0,89","14,42~branża 36,60","9,08~branża 12,84"
2014/Q3 (wrz 14),"32,49",19853300,"28,14","1,15~branża 1,76","-15,26",,"53,68","0,61~branża 0,78","2,94","11,06~branża 48,13","3,68","8,83~branża 29,33","46,71","0,87~branża 0,87","12,69~branża 31,77","8,44~branża 14,57"
2014/Q4 (gru 14) ,"38,1",19853300,"29,54","1,29~branża 1,37","-16,67",,"55,05","0,69~branża 0,65","3,59","10,62~branża 21,86","4,08","9,34~branża 17,19","50,23","0,91~branża 0,80","12,31~branża 19,70","7,96~branża 8,28"
2015/Q1 (mar 15) ,"40,02",19853300,"29,79","1,34~branża 2,11","-17,4",,"54,57","0,73~branża 0,77","3,11","12,87~branża 19,91","3,75","10,68~branża 15,18","55,48","1,02~branża 0,92","14,80~branża 15,97","9,19~branża 9,13"
2015/Q2 (cze 15) ,"40,4",19853300,"27,01","1,50~branża 1,49","-21,51",,"53,52","0,75~branża 0,79","3,14","12,85~branża 16,06","3,79","10,67~branża 12,76","59,29","1,11~branża 0,98","15,66~branża 15,51","9,66~branża 8,92"
2015/Q3 (wrz 15) ,38,19853300,"28,32","1,34~branża 1,80","-21,2",,"53,04","0,72~branża 0,79","3,68","10,33~branża 15,45","4,33","8,78~branża 11,83","56,7","1,07~branża 0,99","13,10~branża 13,57","8,40~branża 8,25"
2015/Q4 (gru 15) ,"48,2",19853300,"30,31","1,59~branża 1,65","-20,09",,"52,82","0,91~branża 0,91","4,27","11,29~branża 12,43","5,1","9,45~branża 9,86","63,46","1,20~branża 1,12","12,44~branża 12,44","8,23~branża 7,88"
2016/Q1 (mar 16) ,"54,75",19853300,"31,81","1,72~branża 1,65","-18,98",,"54,22","1,01~branża 0,99","5,52","9,93~branża 10,95","6,44","8,50~branża 9,52","71,13","1,31~branża 1,05","11,04~branża 11,04","7,75~branża 7,45"
2016/Q2 (cze 16) ,"56,79",19853300,"29,12","1,95~branża 1,30","-22,49",,"55,25","1,03~branża 0,72","6,59","8,61~branża 11,04","7,54","7,54~branża 8,75","75,86","1,37~branża 0,93","10,07~branża 10,23","7,30~branża 7,30"
2016/Q3 (wrz 16) ,"68,3",19853300,"30,66","2,23~branża 1,26","-22,35",,"54,62","1,25~branża 0,67","6,82","10,01~branża 11,41","7,75","8,82~branża 9,12","86,9","1,59~branża 0,91","11,22~branża 11,22","8,11~branża 8,11"
2016/Q4 (gru 16) ,"67,8",19853300,"36,03","1,88~branża 1,26","-18,63",,"55,77","1,22~branża 0,70","10,21","6,64~branża 13,01","11,8","5,75~branża 11,36","83,61","1,50~branża 0,82","7,08~branża 14,57","5,67~branża 7,04"
2017/Q1 (mar 17) ,"89,95",19853300,"37,74","2,38~branża 1,21","-18,07",,"56,88","1,58~branża 0,75","10,41","8,64~branża 14,82","11,94","7,54~branża 11,34","106,07","1,86~branża 0,84","8,89~branża 11,34","7,14~branża 8,26"
2017/Q2 (cze 17) ,"88,11",19853300,"32,22","2,73~branża 1,35","-24,57",,"59,8","1,47~branża 0,68","10,71","8,23~branża 14,53","12,42","7,10~branża 12,06","110,05","1,84~branża 0,79","8,86~branża 11,58","7,14~branża 7,14"
2017/Q3 (wrz 17) ,93,19853300,"33,51","2,78~branża 1,22","-24,88",,"62,16","1,50~branża 0,84","10,46","8,89~branża 14,10","12,48","7,45~branża 10,84","116,22","1,87~branża 0,91","9,31~branża 12,55","7,45~branża 7,75"
2017/Q4 (gru 17) ,103,19853300,"37,61","2,74~branża 1,09","-24,19",,"64,77","1,59~branża 0,72","9,18","11,21~branża 14,34","10,13","10,17~branża 10,17","124,05","1,92~branża 0,72","12,24~branża 12,60","9,24~branża 7,83"
2018/Q1 (mar 18) ,"113,5",19853300,"40,8","2,78~branża 1,12","-21,9",,"67,73","1,68~branża 0,59","10,71","10,60~branża 13,79","11,67","9,73~branża 10,19","138,31","2,04~branża 0,69","11,85~branża 12,00","9,15~branża 8,07"
2018/Q2 (cze 18) ,100,19853300,"34,72","2,88~branża 0,99","-30,81",,"69,41","1,44~branża 0,52","10,84","9,22~branża 12,88","11,73","8,53~branża 10,49","132,02","1,90~branża 0,63","11,26~branża 13,74","8,67~branża 8,67"
2018/Q3 (wrz 18) ,"85,8",19853300,"37,4","2,29~branża 1,08","-30,12",,"72,81","1,18~branża 0,50","12,23","7,02~branża 14,31","13,19","6,51~branża 11,11","117,09","1,61~branża 0,58","8,88~branża 10,26","6,95~branża 6,95"
2018/Q4 (gru 18) ,"81,4",19853300,"40,7","2,00~branża 0,93","-30,42",,"75,04","1,08~branża 0,41","11,42","7,13~branża 17,97","13,25","6,14~branża 22,57","110,85","1,48~branża 0,53","8,36~branża 14,12","6,47~branża 6,98"
2019/Q1 (mar 19) ,88,19853300,"42,61","2,07~branża 0,93","-31,74",,"76,14","1,16~branża 0,42","10,1","8,71~branża 12,06","12,74","6,91~branża 12,14","120,19","1,58~branża 0,63","9,43~branża 11,11","7,07~branża 7,07"
2019/Q2 (cze 19) ,"72,6",19853300,"34,51","2,10~branża 0,89","-41,24",,"75,71","0,96~branża 0,44","8,08","8,98~branża 9,93","11,27","6,44~branża 7,09","113,97","1,51~branża 0,60","10,11~branża 11,45","7,18~branża 7,18"
2019/Q3 (wrz 19) ,"48,5",19853300,"36,42","1,33~branża 0,95",-41,,"76,19","0,64~branża 0,43","7,3","6,65~branża 8,10","11,03","4,40~branża 5,15",88,"1,16~branża 0,57","7,97~branża 9,74","5,55~branża 5,55"
2019/Q4 (gru 19) ,"48,9",19853300,"37,11","1,32~branża 0,69","-42,58",,"75,15","0,65~branża 0,48","4,7","10,41~branża 10,82","8,75","5,59~branża 6,67","86,6","1,15~branża 0,47","9,90~branża 9,90","6,27~branża 6,27"
2020/Q1 (mar 20) ,30,19853300,"37,92","0,79~branża 0,79","-42,45",,"74,66","0,40~branża 0,42","3,6","8,32~branża 9,25","7,14","4,20~branża 4,62","67,22","0,90~branża 0,73","9,41~branża 9,41","5,14~branża 5,14"
2020/Q2 (cze 20) ,"42,6",19853300,"35,23","1,21~branża 0,95","-44,25",,"73,61","0,58~branża 0,58","4,11","10,36~branża 15,79","7,28","5,85~branża 9,43","81,85","1,11~branża 0,86","11,24~branża 13,05","5,96~branża 5,96"
2020/Q3 (wrz 20) ,"44,1",19853300,"36,69","1,20~branża 0,92","-42,69",,"71,22","0,62~branża 0,62","3,69","11,94~branża 15,72","6,56","6,72~branża 9,32","81,96","1,15~branża 0,95","12,50~branża 13,93","6,10~branża 6,10"
2020/Q4 (gru 20) ,"51,8",19853300,"39,63","1,31~branża 1,31","-40,16",,"74,34","0,70~branża 0,62","5,91","8,76~branża 13,01","9,05","5,72~branża 9,74","83,77","1,13~branża 0,90","9,26~branża 12,59","5,10~branża 10,45"
2021/Q1 (mar 21) ,69,19853300,"43,14","1,60~branża 1,42","-36,85",,"80,43","0,86~branża 0,63","8,61","8,02~branża 13,69","12,3","5,61~branża 10,41","100,65","1,25~branża 0,94","8,18~branża 17,35","5,11~branża 10,82"
2021/Q2 (cze 21) ,82,19853300,"43,99","1,86~branża 1,15","-33,06",,"92,01","0,89~branża 0,60","12,44","6,59~branża 11,18","16,51","4,97~branża 9,03","113,07","1,23~branża 0,84","6,85~branża 12,75","4,61~branża 7,53"
2021/Q3 (wrz 21) ,"83,5",19853300,"47,83","1,75~branża 1,01","-30,07",,"102,09","0,82~branża 0,53","14,83","5,63~branża 11,21","19,08","4,38~branża 11,18","109,57","1,07~branża 0,79","5,74~branża 11,92","3,95~branża 7,44"
2021/Q4 (gru 21) ,"91,6",19853300,"56,94","1,61~branża 0,89","-21,71",,"110,98","0,83~branża 0,43","21,02","4,36~branża 7,39","24,32","3,77~branża 8,66","109,35","0,99~branża 0,63","4,50~branża 9,64","3,33~branża 5,75"
2022/Q1 (mar 22) ,99,19853300,"63,19","1,57~branża 0,95","-16,83",,"121,15","0,82~branża 0,43","23,76","4,17~branża 5,26","27,5","3,60~branża 4,09","119,71","0,99~branża 0,70","4,35~branża 6,02","3,30~branża 4,70"
2022/Q2 (cze 22) ,"85,3",19853300,"55,87","1,53~branża 0,97","-24,03",,"128,95","0,66~branża 0,33","25,13","3,39~branża 4,14","29,04","2,94~branża 3,20","114,52","0,89~branża 0,45","3,94~branża 4,80","3,04~branża 3,98"
2022/Q3 (wrz 22) ,"73,4",19853300,"63,28","1,16~branża 0,70","-19,83",,"142,08","0,52~branża 0,26","28,65","2,56~branża 4,20","33,56","2,19~branża 3,21","95,7","0,67~branża 0,39","2,85~branża 3,68","2,27~branża 2,84"
