Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1999-11-26,12.5016,12.6121,12.0488,12.441,19365881.368461
1999-11-29,12.3837,12.441,12.161,12.2191,6716073.4917017
1999-11-30,12.3312,12.5524,12.3312,12.441,4014462.8170404
1999-12-01,12.5524,12.834,12.441,12.834,3758799.4755714
1999-12-02,12.9519,13.3441,12.8922,13.0633,4035135.4710055
1999-12-03,13.0633,13.2852,12.9519,13.2312,2879679.8133968
1999-12-06,13.3441,13.7945,13.3441,13.7364,3670013.4372536
1999-12-07,13.6831,13.7364,13.5129,13.5129,2963132.5097246
1999-12-08,13.5129,13.8469,13.5129,13.6241,4649836.4153139
1999-12-09,13.6241,13.6241,13.2852,13.5129,3069578.2973385
1999-12-10,13.6241,13.6241,13.3958,13.4539,2287560.3880707
1999-12-13,13.3958,13.5129,13.2852,13.3441,1926402.6382894
1999-12-14,13.5129,13.7364,13.5129,13.7364,3860479.8176975
1999-12-15,13.6831,13.6831,13.5129,13.5668,1600850.1672757
1999-12-16,13.5129,13.5129,13.3441,13.3958,1789725.2162305
1999-12-17,13.3958,13.5129,13.3441,13.3441,1647289.4457669
1999-12-20,13.5129,13.6831,13.4539,13.6831,2975671.4202379
1999-12-21,13.5668,13.964,13.5668,13.7364,1943576.3170309
1999-12-22,14.077,14.5265,14.077,14.4094,3497554.8717039
1999-12-23,14.4692,14.6379,14.3579,14.4094,1596048.0833039
1999-12-27,14.4692,14.8081,14.4692,14.5265,1880885.4283126
1999-12-28,14.4692,14.4692,14.1294,14.1867,1369032.3724876
1999-12-29,14.1867,14.6976,14.1867,14.6976,2457316.2547827
2000-01-03,14.9785,15.2004,14.7501,15.0309,1962379.1870283
2000-01-04,14.6379,14.6379,14.2981,14.4094,2408684.7736645
2000-01-05,13.9067,14.3579,13.9067,14.2457,3320571.4533781
2000-01-06,14.2981,14.5797,14.1294,14.5265,2007096.4567707
2000-01-07,14.7501,15.3708,14.7501,15.2004,5114129.0550367
2000-01-10,15.2603,15.9898,15.2603,15.3708,5389989.9714614
2000-01-11,15.1414,15.2603,14.8081,15.089,2057834.6507199
2000-01-12,14.7501,15.0309,14.7501,15.0309,1668942.7898208
2000-01-13,15.089,15.5926,15.089,15.482,2615344.142761
2000-01-14,15.482,15.7105,15.2004,15.3708,4914597.0923642
2000-01-17,15.2004,15.3708,15.2004,15.2603,2160641.0155882
2000-01-18,15.3109,15.3708,14.8081,14.9196,1522129.9418
2000-01-19,14.6976,15.0309,14.6976,14.9785,1891057.4927584
2000-01-20,15.0309,15.2603,14.8606,15.2004,2643195.4970278
2000-01-21,15.089,15.3708,15.089,15.3109,1921524.834784
2000-01-24,15.089,15.089,14.6379,14.8606,1446743.8183699
2000-01-25,14.4692,14.4692,13.7945,14.2981,2360685.9170369
2000-01-26,14.2981,14.4094,14.1294,14.2981,1699374.7146451
2000-01-27,14.1867,14.5265,14.1867,14.5265,1217399.121253
2000-01-28,14.5797,14.8606,14.1867,14.3579,1276141.6026771
2000-01-31,14.2457,14.2457,14.077,14.1294,1100378.2458691
2000-02-01,14.4094,14.6976,13.9067,13.964,1752921.8590356
2000-02-02,14.018,14.1294,13.8469,14.077,1988304.5783185
2000-02-03,14.1867,14.6976,14.1867,14.5797,2285609.9994382
2000-02-04,14.7501,14.9196,14.2981,14.4094,1759303.0616686
2000-02-07,14.3579,14.4692,14.1294,14.2457,1519970.7138087
2000-02-08,14.2457,14.2457,13.964,14.077,2188685.3325374
2000-02-09,14.1867,14.2457,13.7364,13.7945,3794481.6951553
2000-02-10,13.7364,13.7945,13.5129,13.6831,1741936.4202446
2000-02-11,13.5129,13.5129,13.0044,13.1149,4206806.3091488
