Data,Przychody ze sprzedaży,Techniczny koszt wytworzenia produkcji sprzedanej,Koszty sprzedaży,Koszty ogólnego zarządu,Zysk ze sprzedaży,Pozostałe przychody operacyjne,Pozostałe koszty operacyjne,Zysk operacyjny (EBIT),Przychody finansowe,Koszty finansowe,Pozostałe przychody (koszty),Zysk z działalności gospodarczej,Wynik zdarzeń nadzwyczajnych,Zysk przed opodatkowaniem,Zysk (strata) netto z działalności zaniechanej,Zysk netto,Zysk netto akcjonariuszy jednostki dominującej
2005/Q1 (mar 05) ,6805908,5334218,489416,198771,783503,78671,64221,797953,46179,74051,50690,820771,0,820771,0,678534,667527
2005/Q2 (cze 05) ,9955048,8082296,546971,224034,1101747,2015925,502595,2615077,322581,184073,60374,2813959,0,2813959,0,2565468,2560212
2005/Q3 (wrz 05) ,13074428,11152227,542810,258877,1120514,90851,120588,1090777,130768,70048,69730,1221227,0,1221227,0,994419,985238
2005/Q4 (gru 05) ,11352883,9510107,812093,357651,673032,174240,403459,443813,103349,152023,21974,417113,0,417113,0,399355,365479
2006/Q1 (mar 06) ,11330649,10027515,645803,246190,411141,134020,94414,450747,146982,168245,46752,476236,0,476236,0,398153,364977
2006/Q2 (cze 06) ,13544538,11461712,628611,292293,1161922,113184,74959,1200147,77779,158501,52433,1171858,0,1171858,0,957907,881003
2006/Q3 (wrz 06) ,14879076,12760168,615408,261643,1241857,128987,203646,1167198,198284,95338,65821,1335965,0,1335965,0,1029407,972985
2006/Q4 (gru 06) ,13112926,11622335,751417,370801,368373,238600,848458,-241485,179832,248754,55695,-254712,0,-254712,0,-325269,-232999
2007/Q1 (mar 07) ,13408224,11765203,746537,396628,499856,129338,254432,374762,47747,260461,53202,215250,0,215250,0,140429,49201
2007/Q2 (cze 07) ,16218297,13684340,779990,369984,1383983,80372,172638,1291717,253605,106220,70430,1509532,0,1509532,0,1214526,1135727
2007/Q3 (wrz 07) ,17264536,15278133,780722,341398,864283,90558,121019,833822,242797,541726,75862,610755,0,610755,0,537510,593412
2007/Q4 (gru 07) ,16901926,15398245,868725,529360,105596,169735,171750,103581,645899,141839,67887,675528,0,675528,0,587961,634069
2008/Q1 (mar 08) ,17938433,16295209,740797,344933,557494,115054,107475,565073,441910,285892,69432,790523,0,790523,0,643579,626268
2008/Q2 (cze 08),22093518,19316722,881723,336528,1558545,190567,102789,1646323,588950,179958,82338,2137653,0,2137653,0,1770660,1740600
