Data-Kwartał,Kurs,Liczba akcji,Wartość księgowa na akcję,Cena / Wartość księgowa,Wartość księgowa Grahama na akcję,Cena / Wartość księgowa Grahama,Przychody ze sprzedaży na akcję,Cena / Przychody ze sprzedaży,Zysk na akcję,Cena / Zysk,Zysk operacyjny na akcję,Cena / Zysk operacyjny,Enterprise Value na akcję,EV / Przychody ze sprzedaży,EV / EBIT,EV / EBITDA
2004/Q4 (gru 04) ,"37,8",427709061,"30,84","1,23~branża 1,57","1,6","23,65~branża 23,65","71,73","0,53~branża 0,62","5,8","6,51~branża 6,62","6,28","6,02~branża 5,83","41,54","0,58~branża 0,71","6,61~branża 6,65","4,40~branża 4,53"
2005/Q4 (gru 05) ,"62,7",427709061,"38,98","1,61~branża 1,87","-3,68",,"96,3","0,65~branża 0,75","10,7","5,86~branża 7,22","11,57","5,42~branża 6,16","70,63","0,73~branża 0,86","6,11~branża 7,03","4,49~branża 5,07"
2006/Q1 (mar 06) ,"58,9",427709061,"40,19","1,47~branża 1,82","-2,34",,"106,88","0,55~branża 0,70",10,"5,89~branża 7,08","10,76","5,48~branża 5,94","69,56","0,65~branża 0,72","6,47~branża 6,23","4,49~branża 4,46"
2006/Q2 (cze 06) ,53,427709061,"42,5","1,25~branża 1,88","0,87","60,68~branża 60,68","115,27","0,46~branża 0,62","6,07","8,73~branża 8,30","7,45","7,12~branża 6,53","60,63","0,53~branża 0,65","8,14~branża 6,99","4,88~branża 4,62"
2006/Q3 (wrz 06) ,49,427709061,"44,64","1,10~branża 1,53","3,41","14,35~branża 64,32","119,49","0,41~branża 0,54","6,04","8,11~branża 6,97","7,63","6,43~branża 5,72","54,86","0,46~branża 0,54","7,19~branża 5,91","4,37~branża 3,92"
2006/Q4 (gru 06) ,"47,7",427709061,"44,07","1,08~branża 1,64","-14,21",,"123,61","0,39~branża 0,59","4,64","10,27~branża 8,71","6,02","7,92~branża 6,94","66,73","0,54~branża 0,63","11,08~branża 8,28","6,09~branża 5,09"
2007/Q1 (mar 07) ,48,427709061,"44,09","1,09~branża 1,56","-13,11",,"128,46","0,37~branża 0,65","3,91","12,29~branża 10,45","5,85","8,21~branża 7,94","68,67","0,53~branża 0,69","11,75~branża 9,43","6,26~branża 5,60"
2007/Q2 (cze 07) ,55,427709061,"45,67","1,20~branża 2,23","-11,05",,"134,71","0,41~branża 0,81","4,5","12,22~branża 12,86","6,06","9,07~branża 9,57","73,22","0,54~branża 0,88","12,08~branża 11,12","6,36~branża 6,69"
2007/Q3 (wrz 07) ,"55,5",427709061,"46,56","1,19~branża 2,82","-9,37",,"140,29","0,40~branża 0,81","3,61","15,36~branża 15,92","5,28","10,51~branża 10,19","72,66","0,52~branża 0,92","13,76~branża 12,26","6,64~branża 6,99"
2007/Q4 (gru 07) ,"51,9",427709061,"46,61","1,11~branża 2,31","-9,73",,"149,15","0,35~branża 0,69","5,64","9,20~branża 9,98","6,09","8,53~branża 8,16","72,53","0,49~branża 0,85","11,91~branża 10,49","6,16~branża 6,33"
2008/Q1 (mar 08) ,"39,55",427709061,"47,28","0,84~branża 1,77","-7,75",,"159,74","0,25~branża 0,50","6,99","5,66~branża 7,06","6,53","6,05~branża 6,14","59,3","0,37~branża 0,65","9,08~branża 8,39","4,88~branża 5,18"
2008/Q2 (cze 08),"34,14",427709061,"48,93","0,70~branża 1,46","-6,43",,"173,48","0,20~branża 0,45","8,4","4,06~branża 5,30","7,36","4,64~branża 5,62","51,66","0,30~branża 0,55","7,02~branża 7,27","3,96~branża 4,64"
2008/Q3 (wrz 08) ,"34,4",427709061,"49,81","0,69~branża 1,07","-8,06",,"187,02","0,18~branża 0,31","7,07","4,87~branża 5,24","6,61","5,20~branża 5,29","57,41","0,31~branża 0,47","8,68~branża 8,24","4,67~branża 4,94"
2008/Q4 (gru 08) ,"25,73",427709061,"41,65","0,62~branża 0,83","-20,46",,"185,96","0,14~branża 0,14","-5,86",,"-3,75",,"55,07","0,30~branża 0,30","-14,69~branża 8,05","26,52~branża 9,07"
2009/Q1 (mar 09) ,"23,8",427709061,"40,55","0,59~branża 0,78","-26,75",,"178,39","0,13~branża 0,24","-9,88",,"-5,82",,"57,26","0,32~branża 0,47","-9,84~branża 0,36","365,58~branża 185,71"
2009/Q2 (cze 09) ,"26,38",427709061,"42,96","0,61~branża 0,82","-22,6",,"165,94","0,16~branża 0,30","-11,21",,"-8,12",,"57,39","0,35~branża 0,55","-7,07~branża 2,83","-28,24~branża -10,75"
2009/Q3 (wrz 09) ,"29,75",427709061,"44,57","0,67~branża 0,99","-19,24",,"155,64","0,19~branża 0,35","-9,09",,"-8,33",,"61,77","0,40~branża 0,59","-7,41~branża 2,80","-28,13~branża -10,76"
2009/Q4 (gru 09) ,"33,95",427709061,"44,51","0,76~branża 1,08","-18,58",,"158,82","0,21~branża 0,21","3,06","11,10~branża 12,72","2,57","13,24~branża 10,55","57,95","0,36~branża 0,36","22,59~branża 13,62","6,76~branża 6,76"
2010/Q1 (mar 10) ,"38,8",427709061,"45,59","0,85~branża 1,27","-18,46",,"165,22","0,23~branża 0,23","7,01","5,54~branża 7,63","4,4","8,82~branża 9,20","62,86","0,38~branża 0,38","14,29~branża 13,40","6,11~branża 6,39"
2010/Q2 (cze 10) ,"35,48",427709061,"46,47","0,76~branża 1,23","-20,65",,"175,27","0,20~branża 0,20","4,26","8,34~branża 8,34","5,48","6,47~branża 7,13","58,28","0,33~branża 0,33","10,63~branża 10,63","5,18~branża 6,37"
2010/Q3 (wrz 10) ,40,427709061,"49,08","0,82~branża 1,18","-15,64",,"183,36","0,22~branża 0,22","4,99","8,02~branża 10,03","6,34","6,31~branża 8,73","63,09","0,34~branża 0,34","9,96~branża 9,96","5,22~branża 6,33"
2010/Q4 (gru 10) ,"45,8",427709061,"50,57","0,91~branża 1,31","-14,47",,"195,34","0,23~branża 0,37","5,54","8,26~branża 8,26","7,3","6,27~branża 6,73","64,15","0,33~branża 0,53","8,79~branża 8,40","4,95~branża 5,31"
2011/Q1 (mar 11) ,"52,65",427709061,"54,27","0,97~branża 1,62","-11,58",,"207,57","0,25~branża 0,25","6,74","7,81~branża 11,95","9,35","5,63~branża 8,73","72,42","0,35~branża 0,35","7,75~branża 7,75","4,86~branża 5,31"
2011/Q2 (cze 11) ,"51,75",427709061,"55,71","0,93~branża 1,47","-4,58",,"218,26","0,24~branża 0,24","8,85","5,85~branża 7,00","9,08","5,70~branża 6,21","70,18","0,32~branża 0,32","7,73~branża 7,73","4,82~branża 4,55"
2011/Q3 (wrz 11) ,"36,49",427709061,"55,83","0,65~branża 1,04","-8,32",,"233,64","0,16~branża 0,16","5,34","6,83~branża 7,06","9,06","4,03~branża 4,69","58,19","0,25~branża 0,25","6,43~branża 6,43","4,00~branża 3,78"
2011/Q4 (gru 11) ,"33,9",427709061,"57,36","0,59~branża 1,11","-4,21",,"250,11","0,14~branża 0,28","5,53","6,14~branża 9,04","4,83","7,02~branża 7,14","51,64","0,21~branża 0,27","10,69~branża 10,69","4,97~branża 4,50"
2012/Q1 (mar 12) ,"37,35",427709061,"60,07","0,62~branża 1,24","-0,34",,"265,48","0,14~branża 0,31","5,89","6,34~branża 10,22","3,9","9,59~branża 9,00","54,11","0,20~branża 0,30","13,89~branża 11,76","5,69~branża 5,69"
2012/Q2 (cze 12) ,"37,41",427709061,"59,37","0,63~branża 1,20","-1,01",,"270,89","0,14~branża 0,25","3,78","9,91~branża 9,91","2,41","15,50~branża 13,57","56,62","0,21~branża 0,25","23,46~branża 17,39","7,12~branża 7,12"
2012/Q3 (wrz 12) ,"45,5",427709061,"62,81","0,72~branża 1,09","3,53","12,90~branża 4,63","277,83","0,16~branża 0,15","7,57","6,01~branża 9,37","3,98","11,43~branża 9,42","59,23","0,21~branża 0,17","14,88~branża 10,36","6,30~branża 5,89"
2012/Q4 (gru 12) ,"49,5",427709061,"61,91","0,80~branża 1,10","3,5","14,15~branża 3,21","280,8","0,18~branża 0,18","5,48","9,03~branża 13,14","4,73","10,46~branża 8,45","65,31","0,23~branża 0,23","13,80~branża 11,95","6,52~branża 6,52"
2013/Q1 (mar 13) ,"51,4",427709061,"62,55","0,82~branża 0,98","4,42","11,63~branża 4,34","276,65","0,19~branża 0,19","2,88","17,82~branża 17,82","3,34","15,41~branża 8,60","71,42","0,26~branża 0,26","21,41~branża 12,18","8,38~branża 8,38"
2013/Q2 (cze 13) ,"46,6",427709061,"60,62","0,77~branża 1,02","2,52","18,51~branża 3,74","277,48","0,17~branża 0,17","2,41","19,31~branża 14,45","2,14","21,80~branża 10,62","58,69","0,21~branża 0,21","27,46~branża 11,88","8,03~branża 6,41"
2013/Q3 (wrz 13) ,"44,15",427709061,"62,1","0,71~branża 1,27","4,83","9,13~branża 7,23","274,53","0,16~branża 0,16","0,75","58,92~branża 26,76","0,19","227,91~branża 18,37","55,43","0,20~branża 0,20","286,11~branża 15,08","10,43~branża 6,59"
2013/Q4 (gru 13) ,41,427709061,"60,67","0,68~branża 1,24","1,51","27,23~branża 13,74","266,19","0,15~branża 0,15","0,41","99,64~branża 46,80","0,78","52,66~branża 20,71","51,8","0,19~branża 0,19","66,54~branża 5,64","8,85~branża 5,52"
2014/Q1 (mar 14) ,"43,22",427709061,"60,59","0,71~branża 1,65","0,57","75,76~branża 13,62","258,35","0,17~branża 0,17","0,21","203,84~branża 28,94","0,58","75,15~branża 18,14","64,3","0,25~branża 0,25","111,80~branża 3,61","11,46~branża 10,94"
2014/Q2 (cze 14),41,427709061,"48,4","0,85~branża 1,49","-3,77",,"259,15","0,16~branża 0,16","-11,45",,"-10,37",,"55,81","0,22~branża 0,22","-5,38~branża -5,38","-10,42~branża 5,81"
2014/Q3 (wrz 14) ,"41,25",427709061,"49,47","0,83~branża 1,19","-3,93",,"256,27","0,16~branża 0,16","-11,73",,"-9,47",,"55,01","0,21~branża 0,21","-5,81~branża 7,06","-11,83~branża 5,74"
2014/Q4 (gru 14) ,"48,92",427709061,"43,89","1,11~branża 1,11","-10,72",,"249,78","0,20~branża 0,20","-13,59",,"-11,01",,"67,02","0,27~branża 0,27","-6,08~branża 15,80","-10,54~branża 5,71"
2015/Q1 (mar 15) ,"59,25",427709061,"46,06","1,29~branża 1,29","-8,79",,"240,16","0,25~branża 0,25","-11,97",,"-8,78",,"73,65","0,31~branża 0,31","-8,39~branża 5,51","-17,18~branża 7,18"
2015/Q2 (cze 15) ,"73,83",427709061,"47,96","1,54~branża 1,54","-5,1",,"231,1","0,32~branża 0,32","3,38","21,85~branża 22,72","7,54","9,79~branża 10,35","87,96","0,38~branża 0,38","11,67~branża 11,67","7,40~branża 7,13"
2015/Q3 (wrz 15) ,"66,2",427709061,"51,65","1,28~branża 1,28","-1,74",,"217,79","0,30~branża 0,29","3,98","16,64~branża 15,21","7,9","8,38~branża 9,74","80,29","0,37~branża 0,37","10,16~branża 15,61","6,54~branża 6,54"
2015/Q4 (gru 15) ,"67,85",427709061,"51,84","1,31~branża 1,31","-7,29",,"206,53","0,33~branża 0,33","6,63","10,23~branża 8,71","10,15","6,69~branża 6,69","85,81","0,42~branża 0,42","8,46~branża 8,20","5,89~branża 5,67"
2016/Q1 (mar 16) ,"73,9",427709061,"52,44","1,41~branża 1,41","-8,54",,"197,67","0,37~branża 0,37","5,65","13,07~branża 9,07","8,44","8,76~branża 7,09","88,43","0,45~branża 0,45","10,48~branża 5,68","6,80~branża 5,51"
2016/Q2 (cze 16) ,"69,05",427709061,"54,6","1,26~branża 1,26","-7,45",,"184,99","0,37~branża 0,37","6,22","11,11~branża 10,46","9,2","7,50~branża 9,17","82,23","0,44~branża 0,44","8,94~branża 8,39","5,92~branża 5,09"
2016/Q3 (wrz 16) ,"65,01",427709061,"58,12","1,12~branża 1,18","-4,93",,"179,42","0,36~branża 0,36","7,93","8,20~branża 8,63","10,65","6,11~branża 6,12","77,46","0,43~branża 0,43","7,28~branża 7,28","5,00~branża 5,00"
2016/Q4 (gru 16) ,"85,3",427709061,"62,58","1,36~branża 4,00","-2,42",,186,"0,46~branża 0,46","12,3","6,93~branża 8,99","17,61","4,84~branża 7,45","94,5","0,51~branża 0,51","5,37~branża 7,10","4,19~branża 4,46"
2017/Q1 (mar 17) ,100,427709061,"67,49","1,48~branża 2,16","2,67","37,52~branża 7,76","201,57","0,50~branża 0,50",16,"6,25~branża 9,70","21,81","4,58~branża 7,67","108,54","0,54~branża 0,54","4,98~branża 7,98","4,04~branża 5,17"
2017/Q2 (cze 17),"111,9",427709061,"68,06","1,64~branża 1,96","3,23","34,68~branża 4,77","210,15","0,53~branża 0,53","16,74","6,69~branża 9,26","20,95","5,34~branża 7,48","114,65","0,55~branża 0,55","5,47~branża 8,05","4,38~branża 4,81"
2017/Q3 (wrz 17) ,"121,7",427709061,"72,07","1,69~branża 3,11","6,45","18,88~branża 4,48","218,68","0,56~branża 0,56","16,02","7,60~branża 11,95","22,12","5,50~branża 9,12","123,03","0,56~branża 0,56","5,56~branża 10,34","4,47~branża 9,36"
2017/Q4 (gru 17) ,106,427709061,"75,28","1,41~branża 1,41","8,12","13,06~branża 8,88","222,96","0,48~branża 0,48","15,56","6,81~branża 9,13","20,24","5,24~branża 7,49","107,78","0,48~branża 0,48","5,33~branża 8,76","4,16~branża 4,62"
2018/Q1 (mar 18) ,"84,12",427709061,"75,35","1,12~branża 1,24","1,41","59,77~branża 3,67","223,82","0,38~branża 0,38","13,51","6,23~branża 9,83","18,23","4,62~branża 8,29","96,17","0,43~branża 0,43","5,28~branża 9,66","4,00~branża 4,61"
2018/Q2 (cze 18) ,"84,06",427709061,"76,95","1,09~branża 1,20","2,75","30,52~branża 5,17","232,42","0,36~branża 0,36","13,09","6,42~branża 10,26","18,82","4,47~branża 6,84","94,01","0,40~branża 0,40","5,00~branża 8,93","3,78~branża 4,22"
2018/Q3 (wrz 18) ,101,427709061,"81,45","1,24~branża 1,24","6,35","15,91~branża 4,38","245,54","0,41~branża 0,41","15,06","6,71~branża 7,20","18,86","5,36~branża 5,36","109,54","0,45~branża 0,45","5,81~branża 5,81","4,38~branża 4,38"
2018/Q4 (gru 18) ,"108,15",427709061,"83,31","1,30~branża 1,30","4,16","26,00~branża 5,32","256,5","0,42~branża 0,42","12,88","8,39~branża 9,52","16,61","6,51~branża 10,59","121,24","0,47~branża 0,47","7,30~branża 8,47","5,30~branża 21,47"
2019/Q1 (mar 19) ,"97,64",427709061,"85,14","1,15~branża 1,29","-3,56",,"261,18","0,37~branża 0,37","12,43","7,85~branża 8,51","15,63","6,25~branża 7,14",118,"0,45~branża 0,45","7,55~branża 10,39","5,28~branża 8,61"
2019/Q2 (cze 19) ,"89,98",427709061,"85,64","1,05~branża 1,26","-1,48",,"267,09","0,34~branża 0,34","12,1","7,44~branża 8,58","14,96","6,02~branża 7,33","103,97","0,39~branża 0,39","6,95~branża 6,95","4,71~branża 4,71"
2019/Q3 (wrz 19) ,"98,7",427709061,"89,35","1,10~branża 1,11",1,"98,86~branża 26,68","264,49","0,37~branża 0,37","10,24","9,64~branża 9,64","13,82","7,14~branża 8,07","111,94","0,42~branża 0,42","8,10~branża 8,10","5,21~branża 5,21"
2019/Q4 (gru 19) ,"85,82",427709061,"90,24","0,95~branża 1,03","-1,57",,260,"0,33~branża 0,33","10,05","8,54~branża 8,54","12,54","6,84~branża 6,68","100,89","0,39~branża 0,39","8,04~branża 8,04","4,86~branża 4,73"
2020/Q1 (mar 20) ,"55,7",427709061,"84,92","0,66~branża 0,70","-8,1",,"252,59","0,22~branża 0,22","2,82","19,74~branża 12,20","5,76","9,66~branża 5,62","75,36","0,30~branża 0,30","13,08~branża 9,43","5,31~branża 3,73"
2020/Q2 (cze 20),"62,62",427709061,"93,15","0,67~branża 1,11","-33,84",,"224,02","0,28~branża 0,28","8,36","7,49~branża 12,90","10,15","6,17~branża 8,04","99,21","0,44~branża 0,50","9,77~branża 3,61","5,16~branża 4,62"
2020/Q3 (wrz 20) ,"45,85",427709061,"93,95","0,49~branża 1,04","-35,22",,"211,6","0,22~branża 0,26","6,94","6,61~branża 15,25","8,4","5,46~branża 10,24","84,82","0,40~branża 0,50","10,10~branża 8,24","4,67~branża 4,67"
2020/Q4 (gru 20) ,"57,72",427709061,"97,25","0,59~branża 1,19","-39,36",,"201,49","0,29~branża 0,29","6,44","8,96~branża 17,07","9,29","6,21~branża 18,96","100,59","0,50~branża 0,75","10,83~branża 10,83","5,05~branża 5,22"
2021/Q1 (mar 21) ,"63,46",427709061,"101,89","0,62~branża 1,24","-41,61",,"207,3","0,31~branża 0,31","16,02","3,96~branża 13,22","18,98","3,34~branża 10,40","107,18","0,52~branża 0,81","5,65~branża 5,65","3,52~branża 4,32"
2021/Q2 (cze 21) ,"76,78",427709061,"104,23","0,74~branża 1,38","-39,43",,"236,32","0,32~branża 0,32","11,93","6,44~branża 7,21","16,17","4,75~branża 6,31","116,11","0,49~branża 0,66","7,18~branża 5,59","4,14~branża 4,14"
2021/Q3 (wrz 21) ,"82,02",427709061,"110,96","0,74~branża 1,52","-37,54",,"265,61","0,31~branża 0,31","17,19","4,77~branża 5,44","22,65","3,62~branża 4,89","121,45","0,46~branża 0,46","5,36~branża 5,36","3,48~branża 3,48"
2021/Q4 (gru 21) ,"74,34",427709061,"120,89","0,61~branża 1,22","-37,71",,"307,08","0,24~branża 0,24",26,"2,86~branża 4,83","32,43","2,29~branża 3,98","116,01","0,38~branża 0,38","3,58~branża 4,96","2,58~branża 3,51"
2022/Q1 (mar 22) ,"76,02",427709061,"127,68","0,60~branża 1,04","-41,93",,"355,91","0,21~branża 0,21","28,14","2,70~branża 4,05","35,45","2,14~branża 3,44","125,85","0,35~branża 0,35","3,55~branża 3,55","2,61~branża 2,91"
2022/Q2 (cze 22) ,"68,52",427709061,"133,47","0,51~branża 1,06","-27,06",,"422,27","0,16~branża 0,16","31,4","2,18~branża 3,15","41,19","1,66~branża 2,06","109,08","0,26~branża 0,26","2,65~branża 3,51","2,01~branża 2,50"
2022/Q3 (wrz 22) ,"53,54",626447925,"137,23","0,39~branża 0,96","9,18","5,84~branża 4,25","346,65","0,15~branża 0,15","37,03","1,45~branża 2,11","46,73","1,15~branża 1,50","72,04","0,21~branża 0,21","1,54~branża 2,39","1,29~branża 2,11"
2022/Q4 (gru 22) ,"64,24",1160942049,"117,1","0,55~branża 1,16","-13,92",,"239,09","0,27~branża 0,21","28,85","2,23~branża 2,35","35,4","1,81~branża 1,74","71,21","0,30~branża 0,29","2,01~branża 2,01","1,72~branża 1,72"
2023/Q1 (mar 23) ,"58,24",1160942049,"128,6","0,45~branża 1,14","-5,61",,"294,92","0,20~branża 0,20","34,22","1,70~branża 2,47","43,18","1,35~branża 1,87","57,12","0,19~branża 0,19","1,32~branża 2,39","1,13~branża 2,11"
